Level,Tribhuvan  University (TU),Kathmandu University (KU),Pokhara University (PoU),Purbanchal University (PU),Nepal Sanskrit University (NSU),B.P Koirala Institute of Health Science (BPKIHS),Total
Bachelor's,48843,1230,782,3432,435,110,54832
Master's,9173,333,271,492,40,136,10445
M. Phil.,32,5,-,-,-,-,37
P. GD.,-,-,-,-,-,-,0
Ph. D.,61,4,-,-,3,-,68
PCL,-,-,-,-,-,-,0
Other,-,-,-,-,-,-,0
Total,58109,1572,1053,3924,478,246,65382
