Level,Tribhuvan  University (TU),Kathmandu University (KU),Pokhara University (PoU),Purbanchal University (PU),Nepal Sanskrit University (NSU),B.P Koirala Institute of Health Science (BPKIHS),Total
Bachelor's,40119,1221,782,1863,859,122,44966
Master's,8358,337,271,298,117,54,9435
M. Phill,50,-,-,-,-,-,50
P. GD.,-,9,-,3,-,-,12
Ph. D.,49,4,-,-,3,-,56
PCL,19753,-,-,-,707,41,20501
Total,68329,1571,1053,2164,1686,217,75020
