Level,Tribhuvan  University (TU),Kathmandu University (KU),Pokhara University (PoU),Purbanchal University (PU),Nepal Sanskrit University (NSU),B.P Koirala Institute of Health Science (BPKIHS),Total
Bachelor's,25373,1566,3359,2450,-,-,32748
Master's,8203,363,577,1398,-,-,10541
M. Phill,77,17,-,-,-,-,94
P. GD.,83,1,-,-,-,-,84
Ph. D.,56,7,-,-,-,-,63
PCL,-,-,-,-,-,-,-
Total,33792,1954,3936,3848,-,-,43530
