Level,Tribhuvan  University (TU),Kathmandu University (KU),Pokhara University (PoU),Purbanchal University (PU),Nepal Sanskrit University (NSU),B.P Koirala Institute of Health Science (BPKIHS),Total
Bachelor's,-,1590,2694,-,-,163,4447
Master's,-,402,560,-,-,85,1047
M. Phill,-,30,39,-,-,-,69
P. GD.,-,18,-,-,-,-,18
Ph. D.,-,12,-,-,-,-,12
PCL,-,-,-,-,-,-,-
Total,-,2052,3293,-,-,248,5593
