Level,Tribhuvan  University (TU),Kathmandu University (KU),Pokhara University (PoU),Purbanchal University (PU),Nepal Sanskrit University (NSU),B.P Koirala Institute of Health Science (BPKIHS),Total
Bachelor's,37804,1339,1039,5813,1518,96,47609
Master's,12395,386,338,823,227,68,14237
M. Phil.,32,5,-,-,-,-,37
P. GD.,-,-,-,-,-,-,0
Ph. D.,61,4,-,-,-,-,65
PCL,-,-,-,-,-,-,0
Total,50292,1734,1377,6636,1745,164,61948
